p	item	meso	stat	2st	3rd	sell_complete
4199999999	40	0	6	9	0	1
4199999999	40	0	2	9	0	1
4495000000	40	0	3	9	0	1
4500000000	40	0	4	9	0	1
4549999999	40	0	3	9	0	1
4560000000	40	0	6	9	0	1
4900000000	40	0	1	9	0	1
4999999999	40	0	2	9	0	1
5195000000	40	0	2	12	0	1
6333333333	40	0	2	9	0	1
5500000000	40	0	5	6	0	1
6999999999	40	0	5	9	0	1
4444444444	40	0	4	9	0	0
4155555555	40	0	2	9	0	0
4100000000	40	0	4	9	0	0
4444444444	40	0	3	9	0	0
4533333333	40	0	4	9	0	0
4155555555	40	0	0	0	0	0
4400000000	40	0	4	9	0	0
3999999999	40	0	2	9	0	0
4000000000	40	0	3	9	0	0
4399999999	40	0	0	0	0	0
4333333333	40	0	1	9	0	0
3100000000	40	0	0	0	0	0
4000000000	40	0	2	9	0	0
3999999999	40	0	0	0	0	0
4500000000	40	0	4	9	0	0
3888888888	40	0	0	0	0	0
3800000000	40	0	0	0	0	0
3699999999	40	0	0	0	0	0
3333333333	40	0	0	0	0	0
4900000000	40	0	1	9	0	0
4300000000	40	0	1	9	0	0
3800000000	40	0	3	9	0	0
3800000000	40	0	2	9	0	0
3700000000	40	0	0	0	0	0
3555555555	0	40	6	9	0	1
3888888888	0	40	3	9	0	1
3999999999	0	40	2	12	0	1
3999999999	0	40	1	9	0	1
4444444444	0	40	4	9	0	1
4555555555	0	40	4	9	0	1
5311111111	0	40	4	9	0	1
3499999000	0	40	0	0	0	0
3333333333	0	40	4	9	0	0
3544444444	0	40	5	6	0	0
3699999999	0	40	3	9	0	0
3455555555	0	40	6	9	0	0
3499999999	0	40	3	9	0	0
3599999999	0	40	6	9	0	0
3500000000	0	40	0	0	0	0
3300000000	0	40	6	9	0	0
3300000000	0	40	0	0	0	0
2999999999	0	40	0	0	0	0
3300000000	0	40	2	9	0	0
2555555555	0	40	6	9	0	0
3222222222	0	40	0	0	0	0
3200000000	0	40	0	0	0	0
3699999999	0	40	1	9	0	0
3777777777	0	40	1	9	0	0
3777777777	0	40	3	9	0	0
3333333333	0	40	0	0	0	0
3299999999	0	40	0	0	0	0
3333330000	0	40	0	0	0	0
3499999999	0	40	1	9	0	0
3096999999	0	40	0	0	0	0
3555555555	0	40	6	9	0	0
3544444444	0	40	6	9	0	0
3555555555	0	40	1	9	0	0
3100000000	20	20	6	9	0	0
3111111111	20	20	3	9	0	1
3255555555	20	20	0	0	0	1
3300000000	20	20	0	0	0	1
3477777777	20	20	3	9	0	1
3500000000	20	20	6	9	0	1
3500000000	20	20	3	9	0	1
3999999999	20	20	3	12	0	1
4000000000	20	20	6	9	0	1
3495000000	20	20	5	6	0	0
2999999999	20	20	0	0	0	0
3999999999	20	20	4	9	0	0
3111111111	20	20	6	9	0	0
3100000000	20	20	0	0	0	0
3000000000	20	20	5	6	0	0
3799999999	20	20	4	9	0	0
3000000000	20	20	0	0	0	0
3299999999	20	20	5	6	0	0
3000000000	20	20	3	9	0	0
2999999999	20	20	6	9	0	0
3444444444	20	20	1	9	0	0
3099999999	20	20	2	9	0	0
2800000000	20	20	3	9	0	0
3299999999	20	20	6	9	0	0
3333333333	20	20	4	9	0	0
2999999999	20	20	0	0	0	0
2899999999	20	20	3	9	0	0
2799999999	20	20	0	0	0	0
2988888888	20	20	6	9	0	0
2999999999	20	20	2	9	0	0
2955555111	20	20	5	6	0	0
2888888888	20	20	6	9	0	0
2950000000	20	20	6	9	0	0
3499999999	20	20	1	9	0	0
2800000000	20	20	6	9	0	0
2888881410	20	20	0	0	0	0
2950000000	20	20	0	0	0	0
2999999998	20	20	2	9	0	0
3666666666	20	20	3	9	0	0
3999999000	20	20	5	6	0	0
2299999999	20	20	1	6	0	0
3599999999	20	20	1	9	0	0
3500000000	20	20	5	6	0	0
2999999999	20	20	0	0	0	0
3399999999	20	20	2	9	0	0
3388888888	20	20	2	9	0	0
3299999999	20	20	2	9	0	0
2999999999	20	20	2	9	0	0
3299999999	20	20	0	0	0	0
3000000000	20	20	0	0	0	0
2990000000	20	20	6	9	0	0
3100000000	20	20	6	9	0	0
3699999999	20	20	4	9	0	0
3666666666	20	20	2	9	0	0
3500000000	20	20	4	9	0	0
2800000000	20	20	2	9	0	0
2400000000	20	20	2	9	0	0
2999999999	20	20	0	0	0	0
2799999999	20	20	0	0	0	0
2999999999	20	20	6	9	0	0
3500000000	20	20	1	9	0	0
2788888888	20	20	6	9	0	0
3199999999	20	20	2	9	0	0
2800000000	20	20	0	0	0	0
2999999999	20	20	0	0	0	0
3444444444	20	20	6	9	0	0
3099999999	20	20	6	9	0	0
2999999999	20	20	2	9	0	0
3300000000	20	20	0	0	0	0
260000000	20	0	0	0	0	1
266666666	20	0	0	0	0	1
279999999	20	0	2	9	9	1
288888888	20	0	0	0	0	1
309999999	20	0	0	0	0	1
311111111	20	0	2	9	6	1
377777777	20	0	3	9	9	1
388888888	20	0	2	9	9	1
